t1valids;t2valids;t3valids;t4valids;t5valids;t6valids;t7valids;t8valids;t9valids;t1baum;t2baum;t3baum;t4baum;t5baum;t6baum;t7baum;t8baum;t9baum;sex;reg_ling;typ3;wlerlev3;hiseineu3cat;fmedu;id;hr1_kal;hr2_kal;hr3_kal;hr4_kal;hr5_kal;hr6_kal;hr7_kal;hr8_kal;hr9_kal
1;1;1;0;0;0;0;0;0;2;2;5;;;;;;;1;1;2;1;1;1;1;7.69570841;10.66954741;13.44110976;;;;;;
0;1;1;1;1;1;1;0;0;;3;5;5;5;8;8;;;2;2;;2;1;2;2;3.939821921;6.246151248;6.320459275;5.472453279;5.021345793;5.906168996;5.210175623;6.849664321;
1;1;1;1;1;1;1;1;1;3;3;5;5;1;8;8;1;1;2;1;1;2;3;2;3;28.32514502;27.64894572;28.63135744;27.02821459;25.76280131;26.3321652;24.03424388;22.64830168;19.09665771
1;1;1;1;1;1;0;0;1;3;3;5;4;1;3;;;1;1;2;2;3;1;3;4;5.531252137;5.789537116;5.440264025;4.652329969;4.853218066;4.61335029;3.840269591;4.698555203;10.49344993
1;1;1;1;0;1;1;1;1;4;4;6;6;;7;1;1;8;1;1;1;3;3;3;5;21.72658987;22.43805933;24.31691638;24.11993173;24.36152928;32.83179061;43.93711808;50.79437534;48.84924331
1;1;1;1;1;1;1;0;0;3;3;5;5;1;8;1;;;1;2;1;2;2;2;6;5.618713921;5.771972219;6.022372526;5.606248261;5.712783906;5.874374349;5.166878403;8.815236267;24.12347878
1;1;1;1;1;1;1;0;0;4;4;6;3;3;5;5;;;1;2;1;2;3;3;7;5.705894435;6.302591388;7.673097517;7.312869708;7.135904424;6.750194871;5.065955955;6.180149691;15.76213764
1;1;1;1;1;1;1;0;1;3;3;5;5;5;1;1;;1;1;1;1;1;1;1;8;10.5959162;11.97251306;12.65453006;12.53245856;12.56350451;12.42078137;12.50230728;14.70514774;38.24714234
1;1;0;0;0;0;0;0;0;4;4;;;;;;;;2;2;1;2;2;2;9;5.967969562;5.373429888;5.271068261;;;;;;
1;0;0;0;0;0;0;0;0;3;;;;;;;;;1;1;1;1;3;2;10;36.30287481;54.46974206;;;;;;;
0;1;0;1;1;0;0;1;0;;5;;7;7;;;1;;1;1;1;2;2;3;11;23.97244277;28.64603761;36.51060765;69.21475979;68.65273915;80.83896141;113.4093239;231.2119968;277.295282
1;1;1;1;1;1;1;1;0;4;4;6;6;6;3;8;1;;2;2;;2;3;3;12;4.981791393;5.291962739;5.159108551;4.95818214;4.29197879;4.465984709;3.504983123;3.062524328;1.52407454
1;1;1;1;1;1;1;1;1;2;4;6;6;6;6;3;1;1;1;1;1;3;3;3;13;6.774455733;6.756081055;6.931293944;6.735072618;6.628064884;6.744096327;6.641545609;6.230394122;7.123201908
1;1;0;1;0;0;0;0;1;4;4;;6;;;;;1;1;2;1;3;2;2;14;5.950666722;6.280627025;6.215304881;7.232793375;7.126811372;17.66137683;50.44607786;176.8301485;272.9887507
1;1;1;1;1;1;1;1;1;4;4;6;8;8;1;8;8;3;1;1;1;3;3;2;15;15.54742711;15.28122633;15.42196533;14.69850721;14.22020702;14.56719445;13.97435171;12.51236588;10.96574466
0;1;1;0;1;1;0;0;0;;3;5;;3;1;;;;2;1;1;2;2;2;16;40.65541452;58.4429632;86.19885962;98.5759668;142.8181719;177.5471203;253.6521713;375.7966877;354.6603477
0;1;1;1;1;1;1;1;1;;4;6;6;6;6;1;1;1;1;1;1;3;1;1;17;33.90791649;36.31962981;42.50382303;49.76744967;49.85841971;56.39686185;76.11814278;107.7685906;148.7752017
1;1;1;1;1;1;1;1;1;2;3;5;5;1;1;1;1;1;1;1;1;2;1;1;18;7.579686662;8.000542346;8.485081919;8.250020829;8.328917919;8.474724634;8.530349935;8.371695425;7.597834506
1;1;1;0;0;0;0;0;0;3;3;5;;;;;;;2;1;1;3;3;3;19;15.95116754;17.36687911;22.54069029;31.88397062;;;;;
1;1;1;1;1;1;1;1;1;4;4;6;3;8;8;4;8;1;1;1;1;3;2;2;20;11.58114042;11.44399264;11.59710767;11.55843317;11.45191542;11.85038021;11.36810396;10.69352432;9.598769012
1;1;1;1;1;1;1;0;1;3;3;5;1;1;1;1;;1;2;1;2;2;1;3;21;16.65673684;17.36324013;17.67074807;18.1093655;13.7175103;11.94339722;10.35844095;14.58398545;21.20503236
0;0;0;0;0;0;0;0;0;;;;;;;;;;1;2;1;2;2;1;22;5.573799761;;;;;;;;
1;0;1;1;1;1;1;0;0;2;;5;5;5;3;3;;;2;2;;2;2;2;23;3.683170306;4.605857738;4.15483532;4.191043682;2.812625156;3.323413661;1.875556382;2.449698781;4.647246321
1;1;0;1;1;1;1;1;1;4;4;;6;8;8;8;1;8;2;2;1;2;3;3;24;5.400264192;4.852073298;4.941564743;5.525176685;5.716561667;5.495558465;4.21961285;4.507819149;4.719858487
1;1;1;1;1;0;1;1;1;4;4;6;8;8;;8;1;1;1;2;;2;1;3;25;1.736376593;1.653992399;1.494157956;1.505084829;1.398313276;1.140181463;1.250039543;2.807019191;2.10256146
1;1;1;1;1;1;1;1;1;3;3;5;5;1;5;8;1;1;2;1;1;3;1;1;26;10.95001951;11.10110582;11.8706733;11.16990217;11.41691622;12.00994994;11.03641726;10.15454174;8.531691662
0;0;0;0;0;0;0;0;0;;;;;;;;;;1;2;1;3;2;2;27;4.618862057;;;;;;;;
1;1;1;1;1;0;0;0;0;3;3;5;4;1;;;;;1;2;;2;1;2;28;3.461335302;3.902547843;3.982918448;4.059188789;4.202615568;4.396749657;4.327630885;9.726935109;51.41282057
1;1;1;1;1;1;1;1;1;3;3;5;1;1;1;1;1;1;1;1;1;2;2;3;29;5.842299371;6.894759792;8.023712546;8.854913589;8.801819792;11.08726329;13.9977329;16.42028344;16.13337657
1;0;0;0;1;1;0;1;1;3;;;;1;1;;1;1;2;1;2;2;1;1;30;17.52918618;28.27475447;57.2125445;154.2761906;139.2532562;155.5780736;212.3597997;336.4632073;271.7270007
1;1;1;1;1;1;1;1;1;4;4;6;1;8;8;8;8;1;1;1;1;3;2;1;31;14.44198858;14.27080381;14.43059635;14.27258895;13.91110528;14.25055032;13.52884469;12.43769172;10.97292434
0;1;1;1;1;1;1;1;1;;3;5;5;1;1;1;1;1;2;2;2;2;1;2;32;3.525935086;5.843075415;5.338980687;4.216799716;4.244249892;3.88420537;2.835818306;2.489557346;2.805807392
1;1;1;1;1;1;1;1;1;3;3;1;1;1;4;1;1;1;1;1;1;3;3;3;33;33.43446869;35.0044673;41.80119115;45.73692688;46.06380934;47.93246273;45.94362153;47.98248123;47.6872013
1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;7;1;1;2;2;;2;1;1;34;4.193755896;5.521758389;4.37493357;5.209627645;4.135288691;4.997021953;2.791686938;3.39209113;2.970076657
1;1;1;1;1;1;1;1;1;3;3;5;5;5;3;1;7;3;2;1;1;2;3;3;35;26.80492642;27.70903869;29.34645284;28.89833718;27.46066119;29.54175233;27.10829802;24.65822495;21.68283908
1;1;1;1;1;1;1;1;1;4;4;6;6;8;8;8;1;1;1;2;1;3;3;3;36;6.465527268;5.958068372;5.68483858;5.26919116;5.229486902;4.699964628;3.477692703;3.56834188;3.0110621
1;1;1;1;1;1;1;1;1;3;3;5;4;3;1;1;1;3;1;2;;2;1;1;37;3.515366442;3.607416627;3.359845333;3.443494918;3.222565711;3.144869995;3.054477489;9.546731583;9.353290731
