resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011007,Schaffhausen (SH),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,No valid response,.0186109047359333,,,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,,
1011011,Fribourg (FR),French,Female,Upper secondary education,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,4.959451464388115,5.249187303888482,4.995441822093395,High,Medium,Basic/low requirements,Other intermediate solution,3-4 years VET,3-4 years VET
1011012,Uri (UR),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,1.117836618633926,1.230213765130537,,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,
1011013,Solothurn (SO),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,9.184840278436379,9.340134868842778,13.20142828469872,Low,Low,Basic/low requirements,2 years VET,2 years VET,NET
1011017,Schwyz (SZ),German,Female,Compulsory schooling only,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,4.415708647530905,3.592894793907954,,Low,Low,Basic/low requirements,3-4 years VET,3-4 years VET,
1011018,St. Gallen (SG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,9.88480408267076,9.933416719607949,11.74424256881177,Low,,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011020,Appenzell Ausserrhoden (AR),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,.6125397779872576,.6188887226419858,.5620858810110424,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
1011021,Fribourg (FR),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,10.28602032454683,14.50645874338151,10.02803097422379,Low,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011027,Fribourg (FR),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,2.655470516143142,2.107327282588321,2.09083102470132,High,Medium,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
1011028,Solothurn (SO),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,Valid response,2.396984310651802,,6.75517797571766,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,10th school year,,Vocational baccalaureate //VET
1011029,Geneva (GE),French,Female,Tertiary education,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,3.36678630065865,3.206607303267088,3.349368172590219,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,General baccalaureate,General baccalaureate,General baccalaureate
1011030,Appenzell Ausserrhoden (AR),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,.6621217006361975,.7787103379138461,.7085387583707476,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,Other intermediate solution,3-4 years VET,3-4 years VET
1011033,Geneva (GE),French,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,11.31062999226907,9.486565692931263,35.05532810279411,Low,Low,Basic/low requirements,Other intermediate solution,NET,NET
1011035,Zurich (ZH),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,17.44614282113807,15.87891876214596,16.12901069740147,Medium,High,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011036,Graubünden (GR),Italian,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,2.13564897172766,2.341498125064013,,Low,Low,Basic/low requirements,10th school year,3-4 years VET,
1011037,St. Gallen (SG),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.042590464508772,2.854161688368018,2.945887071832046,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011038,Valais (VS),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,2.054072383196249,2.101752322406163,1.676876564223622,Low,Medium,Basic/low requirements,Other intermediate solution,Other intermediate solution,3-4 years VET
1011043,Geneva (GE),French,Female,Compulsory schooling only,First generation (respondent and parent(s) born abroad),Valid response,Valid response,No valid response,8.660846429853745,6.698936887086725,,Low,Low,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)",
1011049,Zug (ZG),German,Male,Tertiary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,No valid response,4.358381124897262,6.574620399330641,,Medium,High,High requirements,General baccalaureate,General baccalaureate,
1011050,Fribourg (FR),French,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,8.029242868409863,8.271744432679165,,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,
1011053,Basel-Landschaft (BL),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,13.59286032123546,10.13819527357083,12.79624729900853,High,High,High requirements,3-4 years VET,3-4 years VET,3-4 years VET
1011054,Aargau (AG),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,12.84803839839135,12.88511666284013,14.43918278618916,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011057,St. Gallen (SG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,3.919728198556619,4.400010814293423,,Medium,High,Advanced requirements & Alternative/non-assignable study programme,NET,3-4 years VET,
1011059,Schwyz (SZ),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),No valid response,Valid response,Valid response,,20.31622012543083,7.182370102111275,High,High,Advanced requirements & Alternative/non-assignable study programme,,3-4 years VET,3-4 years VET
1011060,Thurgau (TG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,8.720002377147411,10.91126768845326,,Low,Low,Basic/low requirements,3-4 years VET,3-4 years VET,
1011061,Berne (BE),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,10.08153142821336,13.25280449600882,12.20669009993887,Medium,Low,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
1011063,Zurich (ZH),German,Female,Compulsory schooling only,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,7.350236623599693,5.500165551569993,6.817964941145217,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
1011064,Jura (JU),French,Male,Compulsory schooling only,First generation (respondent and parent(s) born abroad),Valid response,No valid response,No valid response,9.068508326529706,,,Low,Low,Basic/low requirements,NET,,
1011067,Vaud (VD),French,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,36.99785689164666,31.0262268295912,31.39776075891535,High,High,High requirements,NET,General baccalaureate,General baccalaureate
1011072,Berne (BE),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,10.1491783623194,8.53668496345864,11.13292254247743,Low,High,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
1011074,Schwyz (SZ),German,Male,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",No valid response,Valid response,No valid response,,76.56874657452487,,Low,Low,Basic/low requirements,,3-4 years VET,
1011077,Neuchâtel (NE),French,Male,Compulsory schooling only,First generation (respondent and parent(s) born abroad),Valid response,No valid response,not administered [wave],16.28701455631834,,,Low,Low,Basic/low requirements,Other intermediate solution,,
1011079,Valais (VS),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.422136694042063,3.232182859365798,3.128472794235303,,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011081,Thurgau (TG),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,6.784402399284723,6.204963469278485,6.493370151157513,High,Low,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
1011082,Valais (VS),French,Male,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,.6990242742060331,.5497985216288097,.7040380272813429,Low,High,Advanced requirements & Alternative/non-assignable study programme,10th school year,Vocational baccalaureate //VET,Vocational baccalaureate //VET
1011085,Aargau (AG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,23.58663029668459,24.03889043103622,,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,NET,3-4 years VET,
1011087,Jura (JU),French,Female,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,2.290581699814309,2.007977066488857,3.55889943703545,Low,Medium,Basic/low requirements,Other intermediate solution,NET,NET
1011088,St. Gallen (SG),German,Female,Tertiary education,First generation (respondent and parent(s) born abroad),Valid response,No valid response,No valid response,.0724105580636197,,,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,,
1011092,Ticino (TI),Italian,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,12.56474603233539,11.0916427709038,11.01633386583969,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011093,Thurgau (TG),German,Male,Compulsory schooling only,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,12.78941206037395,9.380425853870788,,Low,Low,Basic/low requirements,3-4 years VET,3-4 years VET,
1011094,Schaffhausen (SH),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.705054729799704,2.033699961058237,2.183044425740372,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011095,Graubünden (GR),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.536261268596712,1.632298639738003,1.772670346484004,Medium,High,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011097,Geneva (GE),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,17.13437222929481,12.36214667330049,,Low,High,High requirements,3-4 years VET,NET,
1011099,Lucerne (LU),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,9.576385094819125,8.052253643019673,8.393856872323108,Low,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011106,Zurich (ZH),German,Female,Compulsory schooling only,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.524421226999619,6.993601980754972,8.431270832293459,Low,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011107,Neuchâtel (NE),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.146246853738441,7.102672522269032,7.217011422683886,High,Low,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
1011112,Berne (BE),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,33.50639558270081,43.23540987422888,57.00178431294652,High,Medium,Basic/low requirements,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
1011119,Nidwalden (NW),German,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,No valid response,3.796549640006801,3.472540283157472,,Low,Low,Basic/low requirements,10th school year,3-4 years VET,
1011121,Aargau (AG),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,16.29831800640452,12.8724934342464,14.66000975962101,High,High,High requirements,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
1011126,Geneva (GE),French,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,12.30277365478419,10.91071247654317,11.49561940829335,Low,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011127,Valais (VS),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,.4108236633383499,.3099761436214546,.3661750746410316,Low,High,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
1011128,Jura (JU),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.846484316478081,1.485483594090837,1.515997495487002,Low,Low,High requirements,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
1011131,Solothurn (SO),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,No valid response,6.22365211794983,,,High,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,,
1011132,Valais (VS),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,.9949335390363544,.9896446012331314,.9853170318967712,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011133,Berne (BE),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,19.67470021361023,19.23308436596709,18.39608184416754,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011139,Berne (BE),German,Female,Tertiary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,33.21976666321818,29.51713581800672,30.7380844841698,Low,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011142,Fribourg (FR),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,9.583086950837624,8.961503396196704,10.59165885394861,High,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
1011144,Basel-Stadt (BS),German,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,No valid response,Valid response,10.69407111696451,,29.65615327568246,Low,Low,Basic/low requirements,10th school year,,2 years VET
1011153,St. Gallen (SG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,8.484605401309519,8.60117179586881,11.2385398548317,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,Other intermediate solution,3-4 years VET,3-4 years VET
1011158,Basel-Stadt (BS),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,Valid response,9.126593877543227,,28.79488901908429,High,Low,Advanced requirements & Alternative/non-assignable study programme,10th school year,,3-4 years VET
1011161,Nidwalden (NW),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,1.345634406212783,1.103431774908798,1.381397833525974,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)",NET
1011165,Thurgau (TG),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.866796615575925,8.171551821024099,7.198448809289236,High,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011172,Berne (BE),German,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,22.55139059157156,17.11326668961529,19.41719462204696,High,High,Advanced requirements & Alternative/non-assignable study programme,10th school year,General baccalaureate,General baccalaureate
1011173,Schwyz (SZ),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,Valid response,4.432824920043831,,20.37703108765682,Low,Low,Basic/low requirements,3-4 years VET,,3-4 years VET
1011175,Schwyz (SZ),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.929547778324391,3.378833458381219,3.403482422652579,High,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011179,Zug (ZG),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,not administered [wave],4.044263415737163,,,High,Low,Advanced requirements & Alternative/non-assignable study programme,10th school year,,
1011184,Zurich (ZH),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,35.89161815444295,37.69041216419619,31.89371838695031,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
1011187,Zurich (ZH),German,Male,Upper secondary education,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,33.16631338880617,30.57577999028275,30.3819073970967,High,Medium,Advanced requirements & Alternative/non-assignable study programme,10th school year,3-4 years VET,3-4 years VET
